                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.75981,                  1.559,                 1.7459,                 1.1729,                0.52333,                0.51866,                0.58215,                0.49456,                0.52142,                0.51533,                 0.5709,                0.46612,                0.89663,                  1.793,                 1.5083,                 1.3653,               0.006535,               0.006535,               0.006535
                     73,                0.76282,                 1.5696,                 1.7496,                 1.1777,                0.55668,                0.51166,                0.58652,                0.49774,                0.55477,                0.50839,                0.57472,                0.46771,                0.89546,                 1.7892,                 1.4997,                 1.3639,              0.0064855,              0.0064855,              0.0064855
                     74,                0.76119,                 1.5633,                 1.7493,                 1.1761,                0.55241,                0.51644,                0.58932,                0.50017,                0.55049,                0.51312,                0.57735,                0.47018,                0.89341,                 1.7852,                 1.4928,                 1.3616,               0.006436,               0.006436,               0.006436
                     75,                0.75988,                 1.5493,                 1.7305,                  1.173,                0.58816,                0.50723,                0.59382,                0.50411,                0.58631,                0.50407,                0.58189,                0.47295,                0.89276,                 1.7823,                 1.4843,                  1.361,              0.0063865,              0.0063865,              0.0063865
                     76,                0.75804,                 1.5506,                 1.7393,                 1.1706,                0.55272,                0.51673,                0.59878,                0.51023,                0.55078,                0.51338,                0.58656,                0.47886,                0.89175,                 1.7786,                 1.4737,                 1.3596,               0.006337,               0.006337,               0.006337
                     77,                0.76004,                 1.5493,                  1.733,                 1.1728,                0.56416,                0.51597,                0.60029,                0.51222,                0.56217,                0.51258,                0.58903,                0.48038,                0.89029,                 1.7761,                 1.4661,                 1.3582,              0.0062875,              0.0062875,              0.0062875
                     78,                0.75892,                  1.559,                 1.7263,                 1.1739,                0.55371,                0.52693,                0.60326,                0.51373,                0.55183,                0.52364,                0.59197,                0.48175,                0.88796,                 1.7728,                 1.4588,                  1.356,               0.006238,               0.006238,               0.006238
                     79,                 0.7556,                 1.5497,                 1.7265,                 1.1724,                0.54168,                0.53305,                0.60768,                0.51751,                0.53981,                0.52977,                0.59657,                0.48458,                0.88692,                 1.7695,                 1.4512,                 1.3549,              0.0061885,              0.0061885,              0.0061885
                     80,                 0.7565,                 1.5473,                  1.726,                  1.174,                0.56217,                0.52932,                0.61047,                0.52116,                0.56028,                0.52604,                0.59976,                0.48783,                0.88708,                 1.7679,                 1.4417,                 1.3552,               0.006139,               0.006139,               0.006139
                     81,                0.75804,                 1.5455,                 1.7186,                 1.1712,                0.56316,                0.53483,                 0.6127,                0.52251,                 0.5615,                0.52983,                0.60213,                0.48985,                0.88648,                 1.7648,                 1.4335,                 1.3542,              0.0060895,              0.0060895,              0.0060895
                     82,                0.75777,                 1.5462,                 1.7047,                 1.1707,                0.56995,                0.54266,                0.61761,                0.52674,                 0.5678,                0.53768,                0.60752,                 0.4927,                0.88543,                 1.7613,                 1.4259,                 1.3528,                0.00604,                0.00604,                0.00604
                     83,                0.75478,                 1.5373,                 1.6952,                 1.1683,                 0.5568,                0.55004,                0.62134,                0.52897,                0.55487,                0.54178,                 0.6079,                0.49356,                0.88479,                 1.7584,                 1.4163,                 1.3516,              0.0059905,              0.0059905,              0.0059905
                     84,                0.75185,                  1.529,                 1.6884,                 1.1672,                0.55924,                0.55369,                0.62248,                0.53002,                0.55781,                0.54881,                0.61011,                0.49556,                0.88244,                 1.7549,                 1.4063,                 1.3489,               0.005941,               0.005941,               0.005941
                     85,                  0.753,                 1.5374,                 1.6888,                 1.1683,                0.56482,                0.55621,                0.62493,                0.53298,                0.56546,                0.55151,                0.61443,                0.49874,                 0.8794,                 1.7517,                 1.3967,                 1.3462,              0.0058915,              0.0058915,              0.0058915
                     86,                0.75246,                 1.5383,                 1.6907,                   1.17,                0.56486,                0.55768,                0.62766,                0.53457,                 0.5637,                0.55371,                0.61645,                0.50052,                0.87773,                 1.7477,                 1.3898,                 1.3449,               0.005842,               0.005842,               0.005842
                     87,                0.75086,                 1.5291,                 1.6809,                 1.1679,                0.56602,                0.56318,                0.62832,                0.53361,                0.56745,                0.55951,                0.61822,                0.50085,                0.87407,                 1.7445,                 1.3823,                 1.3421,              0.0057925,              0.0057925,              0.0057925
                     88,                0.74907,                  1.519,                 1.6637,                 1.1631,                0.56031,                0.57135,                0.63153,                 0.5373,                 0.5648,                0.56631,                0.62129,                0.50389,                0.87072,                 1.7417,                 1.3744,                  1.339,               0.005743,               0.005743,               0.005743
                     89,                0.75203,                 1.5307,                 1.6802,                 1.1659,                 0.5745,                0.56554,                0.63426,                0.53895,                0.57565,                0.56106,                0.62405,                0.50629,                0.86811,                 1.7371,                 1.3661,                 1.3363,              0.0056935,              0.0056935,              0.0056935
                     90,                0.75023,                 1.5276,                 1.6647,                 1.1677,                0.59637,                0.56328,                0.63739,                0.54216,                0.59594,                0.55789,                0.62483,                0.50936,                0.86622,                 1.7337,                  1.356,                  1.334,               0.005644,               0.005644,               0.005644
                     91,                0.74977,                 1.5321,                 1.6746,                  1.166,                0.59759,                0.56515,                0.63802,                0.54285,                0.59248,                0.56462,                 0.6255,                0.50938,                0.86555,                 1.7311,                 1.3494,                 1.3335,              0.0055945,              0.0055945,              0.0055945
                     92,                0.74981,                 1.5277,                 1.6512,                  1.165,                0.59764,                0.57301,                 0.6406,                0.54494,                0.59718,                0.56483,                0.62913,                0.51172,                0.86347,                 1.7287,                 1.3412,                 1.3315,               0.005545,               0.005545,               0.005545
                     93,                0.74576,                 1.5164,                 1.6496,                 1.1638,                0.60366,                0.57548,                0.64442,                0.54808,                0.60154,                 0.5678,                0.63485,                0.51516,                0.86241,                 1.7248,                 1.3338,                 1.3303,              0.0054955,              0.0054955,              0.0054955
                     94,                0.74657,                 1.5118,                  1.645,                 1.1626,                0.60415,                0.57099,                0.64865,                0.55028,                 0.6018,                0.56598,                0.63718,                0.51504,                  0.861,                  1.721,                 1.3261,                 1.3282,               0.005446,               0.005446,               0.005446
                     95,                0.74149,                 1.5067,                  1.629,                 1.1598,                0.60832,                0.57433,                0.65171,                0.55242,                0.60731,                0.57279,                0.64365,                0.51798,                0.85944,                 1.7168,                 1.3196,                 1.3261,              0.0053965,              0.0053965,              0.0053965
                     96,                0.73923,                 1.5008,                 1.6248,                 1.1582,                0.61085,                 0.5743,                 0.6521,                0.55302,                0.60917,                 0.5717,                 0.6441,                0.51788,                0.85913,                 1.7136,                 1.3111,                 1.3251,               0.005347,               0.005347,               0.005347
                     97,                0.74708,                 1.5123,                   1.63,                 1.1619,                0.61152,                0.57325,                0.65561,                0.55542,                 0.6098,                0.57056,                0.64747,                0.52251,                 0.8587,                 1.7114,                  1.305,                 1.3244,              0.0052975,              0.0052975,              0.0052975
                     98,                0.73896,                  1.502,                 1.6139,                 1.1577,                0.60899,                0.57998,                0.65958,                0.55808,                0.60726,                0.57735,                0.65124,                0.52448,                0.85821,                 1.7089,                 1.2985,                 1.3238,               0.005248,               0.005248,               0.005248
                     99,                0.73783,                 1.4947,                 1.6086,                 1.1558,                0.57749,                0.59983,                0.66618,                0.56202,                0.61031,                0.57649,                 0.6576,                0.52839,                0.85754,                 1.7043,                 1.2901,                 1.3225,              0.0051985,              0.0051985,              0.0051985
                    100,                0.73753,                 1.4987,                 1.6136,                 1.1581,                0.57781,                0.60589,                0.66441,                0.56301,                0.57858,                0.59773,                0.65213,                0.52792,                0.85797,                  1.701,                 1.2828,                  1.322,               0.005149,               0.005149,               0.005149
                    101,                0.73884,                 1.5036,                 1.6106,                  1.161,                0.56123,                0.61909,                0.67223,                0.56759,                0.58194,                0.60301,                0.66385,                0.53404,                0.85743,                  1.698,                 1.2738,                 1.3213,              0.0050995,              0.0050995,              0.0050995
                    102,                0.73785,                 1.4941,                  1.605,                  1.158,                0.59167,                0.61175,                0.67617,                0.57053,                0.59067,                0.60727,                0.66673,                0.53572,                0.85838,                 1.6935,                  1.267,                 1.3214,                0.00505,                0.00505,                0.00505
                    103,                0.73633,                 1.4881,                 1.5998,                 1.1562,                0.58938,                  0.614,                0.68184,                0.57454,                0.59137,                0.60943,                0.67149,                0.53861,                0.85713,                 1.6908,                 1.2593,                 1.3206,              0.0050005,              0.0050005,              0.0050005
                    104,                0.73555,                 1.4883,                  1.592,                 1.1552,                0.59882,                0.61724,                0.69064,                0.58158,                0.59497,                0.61334,                0.67807,                0.54446,                0.85663,                 1.6888,                 1.2471,                 1.3196,               0.004951,               0.004951,               0.004951
                    105,                0.73386,                 1.4869,                 1.5799,                 1.1534,                0.59575,                0.62985,                0.69626,                0.58675,                0.60229,                 0.6238,                0.68299,                  0.548,                0.85734,                 1.6869,                 1.2398,                 1.3194,              0.0049015,              0.0049015,              0.0049015
